question,answer,type
In which part of the building is the Admissions Office located?,"Ground floor, Administration Block.",paraphrased
Could you let me know where the Admissions Office is situated?,"Ground floor, Administration Block.",paraphrased
Which extensions can I use to contact Admissions?,"218, 300, 247, 503.",paraphrased
What are the extension numbers for reaching Admissions?,"218, 300, 247, 503.",paraphrased
What are the contact extensions for the Admissions office?,"218, 300, 247, 503.",paraphrased
Which phone extensions should I dial to get in touch with Admissions?,"218, 300, 247, 503.",paraphrased
Which email address should I use to contact Admissions?,admit@usiu.ac.ke.,paraphrased
What is the email for reaching out to the Admissions office?,admit@usiu.ac.ke.,paraphrased
What's the correct email to get in touch with Admissions?,admit@usiu.ac.ke.,paraphrased
Which email should I send to connect with the Admissions department?,admit@usiu.ac.ke.,paraphrased
Which English language test do you need to take?,TOEFL 550/90 or Cambridge C.,paraphrased
What is the necessary English assessment?,TOEFL 550/90 or Cambridge C.,paraphrased
What English proficiency exam is required?,TOEFL 550/90 or Cambridge C.,paraphrased
Which English test must be completed?,TOEFL 550/90 or Cambridge C.,paraphrased
What is what english test is required??,TOEFL 550/90 or Cambridge C.,paraphrased
What is the validity period for GMAT/GRE scores?,Five years.,paraphrased
For how many years are GMAT/GRE scores considered valid?,Five years.,paraphrased
What is the duration of validity for GMAT/GRE scores?,Five years.,paraphrased
How many years do GMAT/GRE scores remain valid?,Five years.,paraphrased
What length of time are GMAT/GRE scores accepted as valid?,Five years.,paraphrased
Can you explain what Special Status means?,Non-degree students not meeting full requirements.,paraphrased
What does it refer to when we talk about Special Status?,Non-degree students not meeting full requirements.,paraphrased
Could you clarify the definition of Special Status?,Non-degree students not meeting full requirements.,paraphrased
What does Special Status entail?,Non-degree students not meeting full requirements.,paraphrased
How would you describe Special Status?,Non-degree students not meeting full requirements.,paraphrased
"""Are credits from extension or correspondence courses allowed?""",No.,paraphrased
"""Will you accept credits earned through extension or correspondence programs?""",No.,paraphrased
"""Do you accept credits from extension or correspondence classes?""",No.,paraphrased
"""Are extension and correspondence course credits recognized here?""",No.,paraphrased
"""Is it possible to use extension or correspondence credits?""",No.,paraphrased
What is the duration of a Leave of Absence?,Maximum one academic year.,paraphrased
How much time can one take for a Leave of Absence?,Maximum one academic year.,paraphrased
What is the longest period allowed for a Leave of Absence?,Maximum one academic year.,paraphrased
For how long can a Leave of Absence be granted?,Maximum one academic year.,paraphrased
What's the maximum length for a Leave of Absence?,Maximum one academic year.,paraphrased
Are graduates who are reapplying required to pay an application fee?,"Yes, non-refundable.",paraphrased
Is there an application fee for graduates returning to apply again?,"Yes, non-refundable.",paraphrased
Do graduates who come back to apply need to pay a fee for their application?,"Yes, non-refundable.",paraphrased
Is an application fee charged to graduates who are resubmitting their applications?,"Yes, non-refundable.",paraphrased
Must returning graduates submit an application fee?,"Yes, non-refundable.",paraphrased
What is the goal of Financial Aid?,Support students with financial need.,paraphrased
How does Financial Aid aim to assist students?,Support students with financial need.,paraphrased
Can you describe the mission of the Financial Aid department?,Support students with financial need.,paraphrased
What is the purpose of Financial Aid in relation to students?,Support students with financial need.,paraphrased
In what way does Financial Aid serve students who require financial assistance?,Support students with financial need.,paraphrased
How many units constitute a full-time undergraduate course load for financial aid?,9 -12 units.,paraphrased
What is considered a full-time course load in terms of units for undergraduate aid?,9 -12 units.,paraphrased
"For financial aid purposes, what is the required unit load for full-time undergraduate students?",9 -12 units.,paraphrased
What number of units qualifies as a full-time undergraduate load to receive aid?,9 -12 units.,paraphrased
What is what is the undergrad full-time load for aid??,9 -12 units.,paraphrased
How many units constitute a full-time load for graduate aid?,6 -9 units.,paraphrased
What is considered the full-time unit requirement for graduate assistance?,6 -9 units.,paraphrased
What is the unit range for full-time status in graduate aid programs?,6 -9 units.,paraphrased
How many units do you need to be considered full-time for graduate aid purposes?,6 -9 units.,paraphrased
What is what is the grad full-time load for aid??,6 -9 units.,paraphrased
Do Kenyans need to submit an application for HELB initially?,"Yes, if eligible.",paraphrased
Is it necessary for Kenyans to apply for HELB beforehand?,"Yes, if eligible.",paraphrased
Should Kenyans first complete the HELB application process?,"Yes, if eligible.",paraphrased
Are Kenyans required to apply for HELB as a first step?,"Yes, if eligible.",paraphrased
Do Kenyans have to apply for HELB before anything else?,"Yes, if eligible.",paraphrased
Can aid be returned?,No.,paraphrased
Is it possible to get aid back?,No.,paraphrased
Is aid something you can refund?,No.,paraphrased
Can you receive a refund for aid?,No.,paraphrased
Is aid eligible for a refund?,No.,paraphrased
Can you mention a scholarship for undergraduates?,Alumni Scholarship.,paraphrased
What is one scholarship available for undergraduate students?,Alumni Scholarship.,paraphrased
Could you provide the name of an undergraduate scholarship?,Alumni Scholarship.,paraphrased
Share the name of a scholarship that targets undergrad students.,Alumni Scholarship.,paraphrased
What's an example of a scholarship for college undergraduates?,Alumni Scholarship.,paraphrased
Can you provide an example of a graduate scholarship?,Graduate Assistantship.,paraphrased
What is one type of scholarship available for graduate students?,Graduate Assistantship.,paraphrased
Could you mention a graduate-level scholarship?,Graduate Assistantship.,paraphrased
Name a scholarship that supports graduate studies.,Graduate Assistantship.,paraphrased
What's one scholarship option for someone pursuing a graduate degree?,Graduate Assistantship.,paraphrased
Can you mention a scholarship that is external?,USAID Scholarship.,paraphrased
What is an example of a scholarship that comes from outside?,USAID Scholarship.,paraphrased
Could you provide the name of an outside scholarship?,USAID Scholarship.,paraphrased
Tell me about a scholarship that isn't offered internally.,USAID Scholarship.,paraphrased
What's a scholarship that is not affiliated with the institution?,USAID Scholarship.,paraphrased
Do you know where I can find the Registrar's Office?,Administration Block.,paraphrased
Where can I locate the Registrar's Office?,Administration Block.,paraphrased
Which extensions connect to the Registrar?,"239, 216.",paraphrased
What are the extension numbers that reach the Registrar?,"239, 216.",paraphrased
Which extension numbers can be used to contact the Registrar?,"239, 216.",paraphrased
What are the extensions that link to the Registrar?,"239, 216.",paraphrased
What is what extensions reach registrar??,"239, 216.",paraphrased
What kinds of services are offered by the Registrar?,"Transcripts, graduation, address updates, ID cards.",paraphrased
What specific services can I expect from the Registrar?,"Transcripts, graduation, address updates, ID cards.",paraphrased
Which services does the Registrar offer to students?,"Transcripts, graduation, address updates, ID cards.",paraphrased
What are the services provided by the Registrar's office?,"Transcripts, graduation, address updates, ID cards.",paraphrased
What is what services does registrar provide??,"Transcripts, graduation, address updates, ID cards.",paraphrased
Where can I find the Dean of Students' office?,Student Affairs Block.,paraphrased
What is the whereabouts of the Dean of Students?,Student Affairs Block.,paraphrased
In which building is the Dean of Students located?,Student Affairs Block.,paraphrased
Could you let me know where the Dean of Students is situated?,Student Affairs Block.,paraphrased
What is where is the dean of students??,Student Affairs Block.,paraphrased
What is the extension for reaching the Dean of Students?,187,paraphrased
What number do I need to call to reach the Dean of Students?,187,paraphrased
Which phone extension connects to the Dean of Students?,187,paraphrased
What is what extension reaches dean of students??,187,paraphrased
What kinds of services are provided by the International Students Office?,"Orientation, tours, exchange programs.",paraphrased
What offerings does the International Students Office provide to students?,"Orientation, tours, exchange programs.",paraphrased
Which services can students access at the International Students Office?,"Orientation, tours, exchange programs.",paraphrased
What support does the International Students Office offer to international students?,"Orientation, tours, exchange programs.",paraphrased
What is what services does international students office offer??,"Orientation, tours, exchange programs.",paraphrased
What time does orientation take place?,Third week of each semester.,paraphrased
During which week of the semester is orientation scheduled?,Third week of each semester.,paraphrased
In which week will orientation be held?,Third week of each semester.,paraphrased
What is the timing for the orientation session?,Third week of each semester.,paraphrased
What is when is orientation held??,Third week of each semester.,paraphrased
Which extension corresponds to ISO?,212,paraphrased
What is the extension that goes with ISO?,212,paraphrased
Which extension is associated with ISO?,212,paraphrased
What is the ISO-associated extension?,212,paraphrased
What is what extension reaches iso??,212,paraphrased
What is the bed capacity of the hostel?,256,paraphrased
Could you provide the number of hostel beds?,256,paraphrased
Who is given priority for hostel accommodations?,International & up-country students.,paraphrased
Which group of students has the first claim to hostel space?,International & up-country students.,paraphrased
Who has precedence when it comes to hostel assignments?,International & up-country students.,paraphrased
Which students are prioritized for hostel housing?,International & up-country students.,paraphrased
Who receives first preference for staying in the hostel?,International & up-country students.,paraphrased
Which extension is associated with Housing?,265,paraphrased
What is the extension number for Housing?,265,paraphrased
Which number do I dial for Housing?,265,paraphrased
What is the Housing extension?,265,paraphrased
What is the Student Center's location?,Between hostels and auditorium.,paraphrased
Could you point me to the Student Center?,Between hostels and auditorium.,paraphrased
In which area is the Student Center situated?,Between hostels and auditorium.,paraphrased
Which services are offered at the Student Center?,"Gym, aerobics, TV, pool tables.",paraphrased
What resources does the Student Center provide?,"Gym, aerobics, TV, pool tables.",paraphrased
What kind of recreational options are present in the Student Center?,"Gym, aerobics, TV, pool tables.",paraphrased
What is what facilities are in student center??,"Gym, aerobics, TV, pool tables.",paraphrased
Which person is responsible for supervising the Yearbook?,Dean of Students.,paraphrased
Who has the role of supervising the Yearbook?,Dean of Students.,paraphrased
Who is the supervisor for the Yearbook?,Dean of Students.,paraphrased
Could you let me know where I can find the Counselling Center?,Counselling Block opposite Classrooms I & J.,paraphrased
Where can I locate the Counselling Center?,Counselling Block opposite Classrooms I & J.,paraphrased
In which area is the Counselling Center situated?,Counselling Block opposite Classrooms I & J.,paraphrased
What is where is counselling center??,Counselling Block opposite Classrooms I & J.,paraphrased
What are the extension numbers for Counselling?,"311, 297.",paraphrased
Which phone extensions should I dial for Counselling?,"311, 297.",paraphrased
Are the conversations in counselling sessions confidential?,Yes.,paraphrased
Is there confidentiality in counselling?,Yes.,paraphrased
Will what I discuss in counselling remain confidential?,Yes.,paraphrased
What types of services are available?,"Personal, career, group counselling, VCT.",paraphrased
What services do you offer?,"Personal, career, group counselling, VCT.",paraphrased
What kind of assistance is provided?,"Personal, career, group counselling, VCT.",paraphrased
Which services can I access?,"Personal, career, group counselling, VCT.",paraphrased
What is what services offered??,"Personal, career, group counselling, VCT.",paraphrased
What areas does ACU oversee?,"HIV programmes, policy, outreach.",paraphrased
What activities are coordinated by ACU?,"HIV programmes, policy, outreach.",paraphrased
What initiatives does ACU manage?,"HIV programmes, policy, outreach.",paraphrased
What programs does ACU focus on?,"HIV programmes, policy, outreach.",paraphrased
What is what does acu coordinate??,"HIV programmes, policy, outreach.",paraphrased
What services are offered by the Career Office?,"CV training, career fairs, employer links.",paraphrased
What kind of support can I expect from the Career Office?,"CV training, career fairs, employer links.",paraphrased
What resources does the Career Office offer?,"CV training, career fairs, employer links.",paraphrased
What assistance can the Career Office give regarding careers?,"CV training, career fairs, employer links.",paraphrased
What is what does career office provide??,"CV training, career fairs, employer links.",paraphrased
"If I want to reach the Career Counsellor, what extension do I need?",162,paraphrased
What's the phone extension for getting in touch with the Career Counsellor?,162,paraphrased
What is what extension reaches career counsellor??,162,paraphrased
Is it required for every poster to have a SAC stamp before being displayed?,Yes; SAC stamp is mandatory.,paraphrased
Do all posters need to be stamped by SAC prior to being shown?,Yes; SAC stamp is mandatory.,paraphrased
Are SAC stamps necessary on all posters before they can be displayed?,Yes; SAC stamp is mandatory.,paraphrased
Should every poster receive a SAC stamp before it is put on display?,Yes; SAC stamp is mandatory.,paraphrased
Is it mandatory for all posters to bear a SAC stamp before they are exhibited?,Yes; SAC stamp is mandatory.,paraphrased
Which languages are required to be included on posters?,At least 75 % English or translated.,paraphrased
What are the language requirements for posters?,At least 75 % English or translated.,paraphrased
"On posters, which languages need to be present?",At least 75 % English or translated.,paraphrased
What languages should be featured on posters?,At least 75 % English or translated.,paraphrased
Which languages must be displayed on posters?,At least 75 % English or translated.,paraphrased
Are posters allowed to promote cigarettes or alcoholic beverages?,No; such content is prohibited.,paraphrased
Is it permissible for posters to feature advertisements for cigarettes or alcohol?,No; such content is prohibited.,paraphrased
Do posters have the ability to advertise tobacco or alcoholic drinks?,No; such content is prohibited.,paraphrased
Are cigarette and alcohol advertisements permitted on posters?,No; such content is prohibited.,paraphrased
Can posters be used to publicize cigarette or alcohol brands?,No; such content is prohibited.,paraphrased
Who is responsible for approving posters related to sports?,Sports Committee.,paraphrased
Which group gives the green light for sports-themed posters?,Sports Committee.,paraphrased
Who makes the decision on the approval of sports posters?,Sports Committee.,paraphrased
Who oversees the approval process for posters about sports?,Sports Committee.,paraphrased
Which committee is in charge of approving sports-related promotional materials?,Sports Committee.,paraphrased
For how much time can election posters stay displayed?,48 hours after election day.,paraphrased
What is the maximum duration for which election posters can be exhibited?,48 hours after election day.,paraphrased
Until when are election posters allowed to be posted?,48 hours after election day.,paraphrased
How many hours after election day can election posters be kept up?,48 hours after election day.,paraphrased
What is the time limit for keeping election posters up after the election?,48 hours after election day.,paraphrased
Who gives approval for notices on the hostel bulletin board?,Housing Officer or designated RA.,paraphrased
Which person is responsible for authorizing announcements on the hostel bulletin board?,Housing Officer or designated RA.,paraphrased
Who is in charge of approving postings on the bulletin board in the hostel?,Housing Officer or designated RA.,paraphrased
Which authority oversees the authorization of notices on the hostel's bulletin board?,Housing Officer or designated RA.,paraphrased
Who is the individual that permits bulletin board notices in the hostel?,Housing Officer or designated RA.,paraphrased
Are the outside surfaces of residence halls available for unrestricted use?,No; regulated by Student Affairs.,paraphrased
Is it permissible to freely utilize the exterior surfaces of dormitories?,No; regulated by Student Affairs.,paraphrased
Can students use the outer surfaces of residence halls without any restrictions?,No; regulated by Student Affairs.,paraphrased
Are there any limitations on using the external surfaces of residence halls?,No; regulated by Student Affairs.,paraphrased
Is free use allowed for the exterior areas of student housing?,No; regulated by Student Affairs.,paraphrased
Are you permitted to put flyers on cars?,No; it causes litter.,paraphrased
Can you distribute flyers on vehicles?,No; it causes litter.,paraphrased
Is it acceptable to leave flyers on parked cars?,No; it causes litter.,paraphrased
Do the rules allow for flyers to be placed on automobiles?,No; it causes litter.,paraphrased
Is it legal to attach flyers to vehicles?,No; it causes litter.,paraphrased
Who is responsible for approving the use of library facilities?,University Librarian.,paraphrased
Which individual grants permission for the use of library resources?,University Librarian.,paraphrased
Who has the authority to authorize access to library facilities?,University Librarian.,paraphrased
Who decides on the approval for using the library's amenities?,University Librarian.,paraphrased
Which person is in charge of permitting the use of library spaces?,University Librarian.,paraphrased
Who is responsible for arranging academic classes?,Academic Program Administrators.,paraphrased
Which individuals oversee the scheduling of academic classes?,Academic Program Administrators.,paraphrased
Who takes care of planning the academic class timetable?,Academic Program Administrators.,paraphrased
Who handles the organization of academic class schedules?,Academic Program Administrators.,paraphrased
Which staff members are in charge of scheduling academic courses?,Academic Program Administrators.,paraphrased
Who is responsible for approving the use of ICT labs?,ICT Director.,paraphrased
Which position grants permission for the use of ICT labs?,ICT Director.,paraphrased
Who has the authority to approve the utilization of ICT labs?,ICT Director.,paraphrased
What role is in charge of approving access to ICT labs?,ICT Director.,paraphrased
Who makes the decision regarding the use of ICT labs?,ICT Director.,paraphrased
What is the minimum notice required for booking facilities?,At least one week.,paraphrased
How much lead time is necessary to reserve facilities?,At least one week.,paraphrased
What's the earliest you should secure a facility reservation?,At least one week.,paraphrased
How much time ahead do you need to book the facilities?,At least one week.,paraphrased
What is the required advance booking period for facilities?,At least one week.,paraphrased
Are fireworks allowed to be used on campus?,Only with prior approval from Operations & Security.,paraphrased
Is it permissible to use fireworks on campus?,Only with prior approval from Operations & Security.,paraphrased
Do you need permission to use fireworks on campus?,Only with prior approval from Operations & Security.,paraphrased
Can I set off fireworks on campus?,Only with prior approval from Operations & Security.,paraphrased
Is using fireworks on campus authorized?,Only with prior approval from Operations & Security.,paraphrased
Is commercial filming permitted by the university?,Only with prior written approval.,paraphrased
Can you film commercially on campus?,Only with prior written approval.,paraphrased
Are you allowed to conduct commercial filming at the university?,Only with prior written approval.,paraphrased
Will the university grant permission for commercial filming?,Only with prior written approval.,paraphrased
Is it possible to get approval for commercial filming at the university?,Only with prior written approval.,paraphrased
Who is given the top priority for using the facilities?,Academic classes.,paraphrased
Which group is allowed to use the facilities first?,Academic classes.,paraphrased
Who takes precedence when it comes to facility usage?,Academic classes.,paraphrased
Who gets first dibs on the use of the facilities?,Academic classes.,paraphrased
Which users have the highest priority for facility access?,Academic classes.,paraphrased
Where does the Student Code of Conduct apply?,On and off campus; all students.,paraphrased
Who falls under the jurisdiction of the Student Code of Conduct?,On and off campus; all students.,paraphrased
What areas does the Student Code of Conduct cover?,On and off campus; all students.,paraphrased
"To whom does the Student Code of Conduct extend, both on campus and beyond?",On and off campus; all students.,paraphrased
In what locations is the Student Code of Conduct enforced?,On and off campus; all students.,paraphrased
Do student organizations have to follow the Code?,"Yes, same as individual students.",paraphrased
Are the Code's provisions applicable to student organizations?,"Yes, same as individual students.",paraphrased
Must student organizations adhere to the Code?,"Yes, same as individual students.",paraphrased
Do the rules in the Code apply to student organizations as well?,"Yes, same as individual students.",paraphrased
Are student organizations required to comply with the Code?,"Yes, same as individual students.",paraphrased
Who is responsible for determining if university interests are at stake in off-campus misconduct?,Vice Chancellor or designee.,paraphrased
Which authority makes the decision regarding university interests in cases of off-campus misconduct?,Vice Chancellor or designee.,paraphrased
Who has the final say on whether university interests are implicated in off-campus misconduct?,Vice Chancellor or designee.,paraphrased
Who is in charge of deciding if off-campus misconduct affects university interests?,Vice Chancellor or designee.,paraphrased
Who makes the call about university interests when it comes to off-campus misconduct situations?,Vice Chancellor or designee.,paraphrased
What is the least penalty for committing physical assault?,Probation Level II.,paraphrased
What is the lowest consequence for a physical assault charge?,Probation Level II.,paraphrased
What's the smallest sanction imposed for physical assault?,Probation Level II.,paraphrased
What is the minimum penalty one can receive for an act of physical assault?,Probation Level II.,paraphrased
What is what is the minimum sanction for physical assault??,Probation Level II.,paraphrased
What penalty is imposed for disrupting free speech?,Probation Level I.,paraphrased
What is the consequence for meddling with freedom of speech?,Probation Level I.,paraphrased
What do you get if you interfere with someone's right to free speech?,Probation Level I.,paraphrased
What is the disciplinary action for violating free speech rights?,Probation Level I.,paraphrased
What is what is the sanction for interfering with free speech??,Probation Level I.,paraphrased
What penalty is imposed for possessing drugs?,Dismissal.,paraphrased
What consequences follow a drug possession charge?,Dismissal.,paraphrased
What punishment is given for having drugs?,Dismissal.,paraphrased
What is the consequence for being caught with drugs?,Dismissal.,paraphrased
What are the repercussions for drug possession?,Dismissal.,paraphrased
What penalty is imposed for document forgery?,Probation Level II.,paraphrased
What is the consequence for creating fake documents?,Probation Level II.,paraphrased
What type of punishment is associated with forging documents?,Probation Level II.,paraphrased
What kind of sanction is given for the act of document forgery?,Probation Level II.,paraphrased
What is the legal repercussion for falsifying documents?,Probation Level II.,paraphrased
What penalty is imposed for theft?,Dismissal.,paraphrased
What consequence is there for someone caught stealing?,Dismissal.,paraphrased
What is the punishment for committing theft?,Dismissal.,paraphrased
How is theft penalized in this context?,Dismissal.,paraphrased
What action is taken against someone who steals?,Dismissal.,paraphrased
What penalty is imposed for using fireworks without authorization?,Probation Level II.,paraphrased
What is the consequence for setting off unauthorized fireworks?,Probation Level II.,paraphrased
What type of sanction applies to those who use fireworks without permission?,Probation Level II.,paraphrased
What are the repercussions for firing off unauthorized fireworks?,Probation Level II.,paraphrased
What is what is the sanction for unauthorized fireworks??,Probation Level II.,paraphrased
What consequences do you face for speeding on campus?,Banned from driving to university.,paraphrased
What happens if you get caught speeding at the university?,Banned from driving to university.,paraphrased
What are the repercussions for exceeding the speed limit at the university?,Banned from driving to university.,paraphrased
"If someone speeds on campus, what punishment do they receive?",Banned from driving to university.,paraphrased
What is what is the sanction for speeding on campus??,Banned from driving to university.,paraphrased
Who is responsible for submitting disciplinary charges?,Any university member in writing to Dean of Students.,paraphrased
Which individuals can file disciplinary charges?,Any university member in writing to Dean of Students.,paraphrased
Who can initiate the process of filing disciplinary charges?,Any university member in writing to Dean of Students.,paraphrased
Who has the authority to file disciplinary charges?,Any university member in writing to Dean of Students.,paraphrased
Who is allowed to submit written disciplinary charges?,Any university member in writing to Dean of Students.,paraphrased
What is the deadline for submitting complaints?,14 calendar days (extendable to 1 year).,paraphrased
By when do complaints need to be lodged?,14 calendar days (extendable to 1 year).,paraphrased
How quickly should one file a complaint?,14 calendar days (extendable to 1 year).,paraphrased
What is the time frame for filing complaints?,14 calendar days (extendable to 1 year).,paraphrased
When do complaints have to be submitted by?,14 calendar days (extendable to 1 year).,paraphrased
Who is responsible for confirming that a complaint has been received?,Hearing Officer or designee within 5 days.,paraphrased
Which individual or role recognizes the receipt of a complaint?,Hearing Officer or designee within 5 days.,paraphrased
Who officially notes the arrival of a complaint?,Hearing Officer or designee within 5 days.,paraphrased
Who verifies that a complaint has been acknowledged?,Hearing Officer or designee within 5 days.,paraphrased
Which party confirms they have received a complaint?,Hearing Officer or designee within 5 days.,paraphrased
When is the hearing expected to take place?,Within 10 working days after acknowledgment.,paraphrased
What is the timeline for scheduling the hearing?,Within 10 working days after acknowledgment.,paraphrased
How long until the hearing is arranged?,Within 10 working days after acknowledgment.,paraphrased
When can I anticipate the hearing to be scheduled?,Within 10 working days after acknowledgment.,paraphrased
In what timeframe will the hearing occur?,Within 10 working days after acknowledgment.,paraphrased
Who is responsible for leading disciplinary hearings?,Hearing Officer or designee.,paraphrased
Which position oversees the disciplinary hearing process?,Hearing Officer or designee.,paraphrased
Who takes the role of chair for disciplinary hearings?,Hearing Officer or designee.,paraphrased
Who is in charge of conducting disciplinary hearings?,Hearing Officer or designee.,paraphrased
Who holds the chair during disciplinary hearings?,Hearing Officer or designee.,paraphrased
What is the number of panel members who are students?,Two.,paraphrased
How many of the members on the panel are actually students?,Two.,paraphrased
"Of the panel members, how many are students?",Two.,paraphrased
What count of the panel members consists of students?,Two.,paraphrased
What is how many panel members are students??,Two.,paraphrased
Are lawyers allowed to represent students during hearings?,No.,paraphrased
Is it permissible for lawyers to act on behalf of students in hearings?,No.,paraphrased
Do lawyers have the ability to represent students in hearing situations?,No.,paraphrased
Is it possible for lawyers to serve as representatives for students in hearings?,No.,paraphrased
Can students have lawyers represent them in hearings?,No.,paraphrased
Who is responsible for recording the hearing?,Hearing Officer; kept 2 years.,paraphrased
Which individual takes the record of the hearing?,Hearing Officer; kept 2 years.,paraphrased
Who documents the proceedings of the hearing?,Hearing Officer; kept 2 years.,paraphrased
Who is in charge of recording the hearing session?,Hearing Officer; kept 2 years.,paraphrased
Who keeps a record of the hearing?,Hearing Officer; kept 2 years.,paraphrased
Is it possible to delay the hearings?,"Yes, on request within 2 days of notice.",paraphrased
Are the hearings able to be rescheduled?,"Yes, on request within 2 days of notice.",paraphrased
Can the hearings be moved to a later date?,"Yes, on request within 2 days of notice.",paraphrased
Is postponing the hearings an option?,"Yes, on request within 2 days of notice.",paraphrased
Can we request to change the date of the hearings?,"Yes, on request within 2 days of notice.",paraphrased
What temporary measure could be implemented?,Interim suspension for safety.,paraphrased
What short-term action might be appropriate?,Interim suspension for safety.,paraphrased
What could be done in the meantime?,Interim suspension for safety.,paraphrased
What provisional step can be taken?,Interim suspension for safety.,paraphrased
What immediate action is advisable?,Interim suspension for safety.,paraphrased
What is the maximum time frame for hearing interim cases?,Within 14 working days.,paraphrased
When should interim cases be addressed at the latest?,Within 14 working days.,paraphrased
By what deadline do interim cases need to be heard?,Within 14 working days.,paraphrased
How quickly should interim cases be brought to a hearing?,Within 14 working days.,paraphrased
What is the time limit for hearing interim cases?,Within 14 working days.,paraphrased
Which sanctions can be used together?,"Any, e.g., probation plus restitution.",paraphrased
What types of sanctions can be paired?,"Any, e.g., probation plus restitution.",paraphrased
Are there any sanctions that can be combined?,"Any, e.g., probation plus restitution.",paraphrased
Which sanctions can you combine?,"Any, e.g., probation plus restitution.",paraphrased
What combinations of sanctions are possible?,"Any, e.g., probation plus restitution.",paraphrased
"""Do you receive a refund if you are suspended for disciplinary reasons?""",No.,paraphrased
"""Is a refund issued in cases of disciplinary suspension?""",No.,paraphrased
"""Will there be any refunds for someone who is suspended due to disciplinary actions?""",No.,paraphrased
"""Are refunds provided when a person faces disciplinary suspension?""",No.,paraphrased
"""Can you get your money back if you are suspended for disciplinary reasons?""",No.,paraphrased
Can you explain what a Disciplinary Warning is?,Written admonition for minor misconduct.,paraphrased
What does the term Disciplinary Warning refer to?,Written admonition for minor misconduct.,paraphrased
How would you define a Disciplinary Warning?,Written admonition for minor misconduct.,paraphrased
What does it mean when someone receives a Disciplinary Warning?,Written admonition for minor misconduct.,paraphrased
Could you clarify what a Disciplinary Warning entails?,Written admonition for minor misconduct.,paraphrased
Can you explain what Probation Level I means?,Serious reprimand; may still represent university.,paraphrased
What does it signify to be at Probation Level I?,Serious reprimand; may still represent university.,paraphrased
Could you clarify what is meant by Probation Level I?,Serious reprimand; may still represent university.,paraphrased
What does Probation Level I entail?,Serious reprimand; may still represent university.,paraphrased
What is the definition of Probation Level I?,Serious reprimand; may still represent university.,paraphrased
Can you explain what Probation Level II means?,Cannot represent university; next step suspension.,paraphrased
What does it signify to be on Probation Level II?,Cannot represent university; next step suspension.,paraphrased
Could you clarify the definition of Probation Level II?,Cannot represent university; next step suspension.,paraphrased
What does it entail to be classified as Probation Level II?,Cannot represent university; next step suspension.,paraphrased
What are the implications of being placed on Probation Level II?,Cannot represent university; next step suspension.,paraphrased
Can you explain what Interim Suspension means?,Immediate removal pending hearing.,paraphrased
What does it mean when someone is under Interim Suspension?,Immediate removal pending hearing.,paraphrased
How would you define Interim Suspension?,Immediate removal pending hearing.,paraphrased
What is the definition of Interim Suspension?,Immediate removal pending hearing.,paraphrased
Could you clarify what Interim Suspension refers to?,Immediate removal pending hearing.,paraphrased
Can you explain what suspension means?,Involuntary separation for a set period.,paraphrased
What does the term suspension refer to?,Involuntary separation for a set period.,paraphrased
How would you define suspension?,Involuntary separation for a set period.,paraphrased
What is meant by the word suspension?,Involuntary separation for a set period.,paraphrased
Could you clarify what suspension is?,Involuntary separation for a set period.,paraphrased
What does the term 'Dismissal' refer to?,Permanent separation.,paraphrased
How would you define Dismissal?,Permanent separation.,paraphrased
Can you explain what Dismissal means?,Permanent separation.,paraphrased
What does it mean when someone says Dismissal?,Permanent separation.,paraphrased
What is the definition of Dismissal?,Permanent separation.,paraphrased
Can you explain what Restitution means?,Payment for damages plus admin fee.,paraphrased
What does the term Restitution refer to?,Payment for damages plus admin fee.,paraphrased
How would you define Restitution?,Payment for damages plus admin fee.,paraphrased
What exactly is meant by Restitution?,Payment for damages plus admin fee.,paraphrased
Could you clarify what Restitution is?,Payment for damages plus admin fee.,paraphrased
What is the time frame for submitting an appeal against a disciplinary decision?,5 working days in writing.,paraphrased
How many working days do I have to write an appeal for a disciplinary outcome?,5 working days in writing.,paraphrased
What's the deadline for appealing a disciplinary result in writing?,5 working days in writing.,paraphrased
In what timeframe must I submit a written appeal for a disciplinary outcome?,5 working days in writing.,paraphrased
How many days do I have to file an appeal regarding a disciplinary action?,5 working days in writing.,paraphrased
Who is responsible for hearing the appeal?,DVC Student Affairs or panel.,paraphrased
Which entity listens to the appeal?,DVC Student Affairs or panel.,paraphrased
Who takes charge of reviewing the appeal?,DVC Student Affairs or panel.,paraphrased
Who adjudicates the appeal?,DVC Student Affairs or panel.,paraphrased
Which group is tasked with hearing the appeal?,DVC Student Affairs or panel.,paraphrased
Can you have legal representation during an appeal?,No.,paraphrased
Are you permitted to have a lawyer for appeals?,No.,paraphrased
Is it permissible to have legal advice in the appeals process?,No.,paraphrased
Is it allowed to have an attorney when filing an appeal?,No.,paraphrased
Do appeals allow for the involvement of legal counsel?,No.,paraphrased
Are university events permitted to serve alcohol?,No; alcohol-free campus.,paraphrased
Can you have alcohol at events hosted by the university?,No; alcohol-free campus.,paraphrased
Is it acceptable to consume alcohol during university events?,No; alcohol-free campus.,paraphrased
Are alcoholic beverages permitted at events organized by the university?,No; alcohol-free campus.,paraphrased
Is drinking alcohol permitted at events taking place on campus?,No; alcohol-free campus.,paraphrased
What penalty is imposed for a first-time alcohol disorder offense?,Probation Level II.,paraphrased
